net,length_um
_1322_,25.16
_1894_,25.16
_1402_,25.1
_1522_,25.06
RF.registers\[4\]\[26\],25.04
RF.registers\[8\]\[13\],25.04
RF.registers\[10\]\[18\],25.015
RF.registers\[1\]\[27\],25
RF.registers\[10\]\[20\],24.99
_2393_,24.98
_2529_,24.98
RF.registers\[30\]\[28\],24.965
RF.registers\[11\]\[13\],24.94
RF.registers\[25\]\[7\],24.94
RF.registers\[8\]\[28\],24.94
RF.registers\[18\]\[1\],24.935
RF.registers\[9\]\[29\],24.92
RF.registers\[22\]\[18\],24.91
RF.registers\[17\]\[0\],24.9
RF.registers\[3\]\[9\],24.88
RF.registers\[7\]\[21\],24.88
RF.registers\[0\]\[21\],24.86
RF.registers\[20\]\[10\],24.86
RF.registers\[26\]\[18\],24.855
RF.registers\[12\]\[20\],24.85
RF.registers\[24\]\[31\],24.84
RF.registers\[2\]\[7\],24.815
RF.registers\[14\]\[20\],24.8
RF.registers\[28\]\[25\],24.8
_2343_,24.78
RF.registers\[6\]\[24\],24.77
_1526_,24.72
_2877_,24.72
RF.registers\[17\]\[31\],24.68
_2078_,24.66
RF.registers\[2\]\[31\],24.655
_2320_,24.64
RF.registers\[30\]\[11\],24.62
RF.registers\[3\]\[27\],24.62
RF.registers\[18\]\[11\],24.615
_1246_,24.6
_1444_,24.6
_2237_,24.6
_2512_,24.6
RF.registers\[16\]\[3\],24.52
RF.registers\[1\]\[0\],24.52
RF.registers\[4\]\[0\],24.5
RF.registers\[19\]\[15\],24.48
RF.registers\[5\]\[31\],24.44
RF.registers\[14\]\[5\],24.415
_1374_,24.38
_2446_,24.38
RF.registers\[15\]\[13\],24.36
_1423_,24.32
RF.registers\[12\]\[25\],24.3
RF.registers\[4\]\[2\],24.28
RF.registers\[8\]\[25\],24.28
RF.registers\[30\]\[3\],24.27
RF.registers\[21\]\[15\],24.26
RF.registers\[24\]\[18\],24.26
_2973_,24.24
RF.registers\[19\]\[25\],24.21
RF.registers\[11\]\[4\],24.2
RF.registers\[10\]\[30\],24.175
RF.registers\[18\]\[12\],24.17
RF.registers\[1\]\[4\],24.16
RF.registers\[16\]\[6\],24.14
_2912_,24.14
RF.registers\[30\]\[5\],24.13
RF.registers\[19\]\[0\],24.12
RF.registers\[22\]\[15\],24.11
RF.registers\[21\]\[26\],24.1
RF.registers\[27\]\[26\],24.08
RF.registers\[3\]\[28\],24.08
_2502_,24.08
_2475_,24.04
RF.registers\[28\]\[23\],24.02
_2722_,24.02
RF.registers\[15\]\[1\],23.98
_1905_,23.98
_2084_,23.98
RF.registers\[14\]\[6\],23.975
RF.registers\[4\]\[27\],23.96
RF.registers\[17\]\[14\],23.9
_2768_,23.9
RF.registers\[8\]\[21\],23.86
RF.registers\[18\]\[24\],23.855
_1281_,23.84
_2588_,23.84
RF.registers\[12\]\[2\],23.82
RF.registers\[3\]\[21\],23.82
RF.registers\[14\]\[9\],23.815
RF.registers\[20\]\[4\],23.8
_1582_,23.78
_2348_,23.78
RF.registers\[22\]\[6\],23.76
_2277_,23.76
_2005_,23.74
_1590_,23.73
RF.registers\[15\]\[30\],23.72
RF.registers\[24\]\[24\],23.7
RF.registers\[5\]\[15\],23.7
RF.registers\[7\]\[19\],23.7
RF.registers\[15\]\[26\],23.66
RF.registers\[0\]\[25\],23.64
_2757_,23.64
RF.registers\[14\]\[27\],23.63
RF.registers\[27\]\[29\],23.62
RF.registers\[15\]\[9\],23.61
RF.registers\[24\]\[0\],23.58
RF.registers\[25\]\[0\],23.58
RF.registers\[8\]\[1\],23.58
